id;selite
1;Acanthopanax senticosus
2;Acer campestre
3;Acer ginnala
4;Acer spicatum
5;Acer tataricum
6;Acer
7;Achillea filipendulina
8;Achillea millefolium
9;Achillea ptarmica 'Flore pleno
10;Achillea ptarmica
11;Aconitum henryi
12;Aconitum lycoctonum ssp septentrionale
13;Aconitum lycoctonum ssp.lycoctonum
14;Aconitum lycoctonum ssp.neapolitanum
15;Aconitum napellus album
16;Aconitum napellus ssp. lusitanicum 'Newry Blue'
17;Aconitum napellus ssp. lusitanicum
18;Aconitum x stoerkianum 'Bicolor'
19;Aconitum
20;Aconitun x stoerkianum
21;Aconogonon alpinum
22;Aconogonon divaricatum
23;Aconogonon polystachyum
24;Aconogonon weyrichii
25;Acorus calamus
26;Actaea erythrocarpa
27;Actinidia kolomikta
28;Adonis vernalis
29;Aegopodium podagraria
30;Agapanthus campanulatus 'Blue Giant'
31;Agastache foeniculum
32;Aguilegia x hybr. 'McKana'
33;Ajuga pyramidalis
34;Ajuga reptans 'Atropurpurea'
35;Ajuga reptans
36;Alcea rosea
37;Alchemilla alpina
38;Alchemilla mollis
39;Alisma plantago-aquatica
40;Allium aflatunense
41;Allium atropurpureum
42;Allium caeruleum
43;Allium carinatum subsp. pulchellum
44;Allium cernuum
45;Allium christophii
46;Allium cyaneum
47;Allium fistulosum
48;Allium giganteum
49;Allium karataviense
50;Allium moly
51;Allium narcissiflorum
52;Allium nigrum
53;Allium porrum
54;Allium rosenbachianum
55;Allium sativum
56;Allium schoeneprasum
57;Allium sphaerocephalum
58;Allium tuberosum
59;Allium ursinum
60;Alnus viridis
61;Alopecurus pratensis
62;Amelanchier alnifolia
63;Amelanchier laevis
64;Amelanchier lamarckii
65;Amelanchier spicata
66;Amelanchier
67;Anaphalis margaritacea
68;Anaphalis triplinervis
69;Anchusa angustissima
70;Anchusa azurea
71;Andromeda polifolia
72;Anemone canadensis
73;Anemone hupehensis var. japonica
74;Anemone multifida
75;Anemone narcissiflora
76;Anemone nemorosa
77;Anemone rivularis
78;Anemone sylvestris
79;Anemone tomentosa
80;Anemone x fulgens
81;Anemone x lesseri
82;Anethum graveolens
83;Angelica archangelica
84;Antchriscus cerefolium
85;Antemis marchalliana
86;Antennaria dioica 'Rubra'
87;Antennaria dioica
88;Antennaria parvifolia
89;Antennaria plantaginifolia
90;Anthemis carpatica
91;Anthemis tinctoria
92;Anthericum liliago
93;Anthericum ramosum
94;Anthyllis vulneraria
95;Apium var. dulce
96;Aquilegia alpina
97;Aquilegia chrysantha
98;Aquilegia flabellata
99;Aquilegia formosa
100;Aquilegia glandulosa var. jucunda
101;Aquilegia skinneri
102;Aquilegia vulgaris 'Alba'
103;Aquilegia vulgaris 'Altrosa'
104;Aquilegia vulgaris 'Rosea'
105;Aquilegia vulgaris
106;Aquilegia x hybr. 'Blue Star'
107;Aquilegia x hybr. 'Crimson Star'
108;Aquilegia x hybr. 'Snow Queen'
109;Aquilegia x hybr.
110;Arabis blepharophylla
111;Arabis caucasica
112;Arabis ferdinandi-coburgi
113;Arabis x arendsii
114;Arctostaphylos uva-ursi
115;Arenaria balearica
116;Arenaria montana
117;Arenaria tetraquerta
118;Aristolochia macrophylla
119;Aristolochia
120;Armeria juniperifolia
121;Armeria maritima
122;Arnica montana
123;Arnica sachalinensis
124;Aronia arbutifolia
125;Aronia melanocarpa 'Glorie'
126;Aronia melanocarpa
127;Aronia mitschurinii 'Viking'
128;Aronia mitschurinii
129;Aronia x prunifolia
130;Aronia
131;Artemisia absinthium
132;Artemisia arbotanum
133;Artemisia dracunculus
134;Artemisia lactiflora
135;Artemisia ludoviciana
136;Artemisia maritima
137;Artemisia schmidtiana 'Nana'
138;Artemisia schmidtiana
139;Artemisia
140;Arum italicum
141;Arum maculatum
142;Aruncus aethusifolius
143;Aruncus dioicus
144;Aruncus
145;Asarum canadense
146;Asarum europaeum
147;Asparagus officinalis
148;Asperula orientalis
149;Aster alpinus 'Abendschein'
150;Aster alpinus 'Albus'
151;Aster alpinus 'Blue Star'
152;Aster alpinus
153;Aster amellus 'Blue King'
154;Aster amellus 'Danzig'
155;Aster amellus 'King George'
156;Aster amellus 'Rudolf Goethe'
157;Aster amellus 'Sonia'
158;Aster amellus
159;Aster dumosus 'Starlight'
160;Aster dumosus 'Waldenberg'
161;Aster novi-belgii 'Dauerblau'
162;Aster novi-belgii 'Eventide'
163;Aster novi-belgii 'Red Sunset'
164;Aster novi-belgii 'White Ladies'
165;Aster novi-belgii 'Winston Churchill'
166;Aster x alpellus
167;Astilbe Arendsii -hybr. 'Federsee'
168;Astilbe Arendsii-hybr. 'Amethyst'
169;Astilbe Arendsii-hybr. 'Bonn'
170;Astilbe Arendsii-hybr. 'Brautschleier'
171;Astilbe Arendsii-hybr. 'Bremen'
172;Astilbe Arendsii-hybr. 'Cattleya'
173;Astilbe Arendsii-hybr. 'Deutschland'
174;Astilbe Arendsii-hybr. 'Erika'
175;Astilbe Arendsii-hybr. 'Etna'
176;Astilbe Arendsii-hybr. 'Europa'
177;Astilbe Arendsii-hybr. 'Fanal'
178;Astilbe Arendsii-hybr. 'Feuer'
179;Astilbe Arendsii-hybr. 'Gladstone'
180;Astilbe Arendsii-hybr. 'Gloria Purpurea'
181;Astilbe Arendsii-hybr. 'Gloria'
182;Astilbe Arendsii-hybr. 'Glut'
183;Astilbe Arendsii-hybr. 'Hyasinth'
184;Astilbe Arendsii-hybr. 'Irrlicht'
185;Astilbe Arendsii-hybr. 'Montgomery'
186;Astilbe Arendsii-hybr. 'Peach Blossom'
187;Astilbe Arendsii-hybr. 'Red Sentinel'
188;Astilbe Arendsii-hybr. 'Rheinland'
189;Astilbe Arendsii-hybr. 'Spinelli'
190;Astilbe Arendsii-hybr. 'Straussenf.'
191;Astilbe Arendsii-hybr. 'Weisse Gloria'
192;Astilbe Arendsii-hybr.
193;Astilbe chinensis 'Finale'
194;Astilbe chinensis 'Pumila'
195;Astilbe chinensis
196;Astilbe Japonica-ryhmä
197;Astilbe
198;Astilboides tabularis
199;Astrantia major
200;Athyrium filix-femina
201;Athyrium niponicum
202;Aubrieta deltoidea
203;Aubrieta x cultorum
204;Azalea mollis
205;Bellis perennis 'Purpurmandel'
206;Bellis perennis 'Rosa'
207;Bellis perennis
208;Berberis thunbergii 'Admiration'
209;Berberis thunbergii 'Atropurpurea nana'
210;Berberis thunbergii 'Atropurpurea'
211;Berberis thunbergii
212;Berberis vulgaris 'Atropurpurea'
213;Berberis vulgaris
214;Berberis x ottawensis 'Superba'
215;Berberis
216;Bergenia cordifolia 'Rotblom'
217;Bergenia cordifolia
218;Bergenia crassifolia
219;Bergenia
220;Bistorta affinis
221;Bistorta major 'Superba'
222;Bistorta major
223;Borago officinalis
224;Brunnera macrophylla
225;Butomus umbellatus
226;Calamagrostis epigejos
227;Calendula officinalis
228;Calla palustris
229;Calluna vulgaris
230;Caltha palustris
231;Campanula carpatica 'Blaue Clips'
232;Campanula carpatica 'Weisse Clips'
233;Campanula carpatica
234;Campanula glomerata
235;Campanula latifolia
236;Campanula patula
237;Campanula persicifolia
238;Campanula portenschlagiana
239;Campanula rapunculoides
240;Campanula rotundifolia
241;Caragana arborescens 'Lorbergii Pendula'
242;Caragana arborescens 'Lorbergii'
243;Caragana arborescens 'Walker'
244;Caragana arborescens
245;Caragana frutex
246;Caragana
247;Carex acuta
248;Carex brunnea
249;Carex nigra
250;Carex ovalis
251;Carex pseudocyperus
252;Carex rhynchophysa
253;Carex rostrata
254;Carex vesicaria
255;Carum carvi
256;Celastrus orbiculatus
257;Celastrus scandens 'Autumn Revolution'
258;Centaurea cyanus
259;Centaurea montana
260;Centaurea
261;Centranthus ruber
262;Cerastium tomentosum 'Columnae'
263;Cerastium tomentosum
264;Cercidiphyllum japonicum
265;Chaenomeles japonica
266;Chamaecyparis lawsoniana 'Alumii'
267;Chamaecyparis pisifera
268;Chelone obliqua
269;Chiastophyllum oppositifolium
270;Chimaphila umbellata
271;Chrysanthemum leucanthemum 'Maikönigin'
272;Chrysanthemum
273;Cimicifuga racemosa var. cordifolia
274;Claytonia sibirica
275;Clematis alpina
276;Clematis integrif. 'Blue Panno'
277;Clematis 'Nadezda'
278;Clematis 'Niobe'
279;Clematis 'Paul Farges'
280;Clematis recta
281;Clematis sibirica
282;Clematis tangutica
283;Clematis viticella
284;Clematis x jackmanii
285;Colchicum autumnale
286;Colchicum bommuelleri
287;Colchicum cilicicum
288;Colchicum hybridum
289;Colchicum speciosum
290;Comarum palustre
291;Convallaria majalis
292;Coreopsis grandiflora
293;Coreopsis verticillata
294;Coriandrum sativum
295;Cornus alba 'Argenteomarginata'
296;Cornus alba 'Gouchaultii'
297;Cornus alba 'Kesselringii'
298;Cornus alba 'Sibirica Variegata'
299;Cornus alba 'Sibirica'
300;Cornus alba ssp.alba
301;Cornus alba ssp.stolonifera 'Flaviramea'
302;Cornus alba stolonifera 'Kelsey's Dwarf
303;Cornus sanguinea
304;Cornus sericea 'Bailadeline'
305;Cornus
306;Coronilla varia
307;Corydalis lutea
308;Corydalis nobilis
309;Corydalis solida
310;Corylus avellana 'Contorta'
311;Corylus avellana
312;Cotoneaster dammerii
313;Cotoneaster integerrimus
314;Cotoneaster lucidus
315;Cotoneaster 'Skogsholm'
316;Cotoneaster
317;Crataegus douglasii
318;Crataegus grayana
319;Crataegus intricata
320;Crataegus laevigata
321;Crataegus monogyna
322;Crataegus sp.
323;Crataegus submollis
324;Crataegus x media 'Paul's Scarlet'
325;Crataegus x mordenensis 'Toba'
326;Crocus ancyrensis
327;Crocus angustifolius
328;Crocus chrysanthus
329;Crocus corsicus
330;Crocus etruscus
331;Crocus laevigatus
332;Crocus speciosus
333;Crocus tommasinianus
334;Crocus vernus
335;Cymbalaria muralis
336;Cytisus decumbens
337;Cytisus glaber
338;Cytisus purpureus
339;Daphne mezereum
340;Darmera peltata
341;Dasiphora fruticosa 'Abbotswood'
342;Dasiphora fruticosa 'Elizabeth'
343;Dasiphora fruticosa 'Floppy Disk'
344;Dasiphora fruticosa 'Fridhem'
345;Dasiphora fruticosa 'Goldfinger'
346;Dasiphora fruticosa 'Goldteppic'
347;Dasiphora fruticosa 'Hacemann'
348;Dasiphora fruticosa 'Jackman'
349;Dasiphora fruticosa 'Kobold'
350;Dasiphora fruticosa 'Longacre'
351;Dasiphora fruticosa 'Lovely Pink'
352;Dasiphora fruticosa 'Mount Everest'
353;Dasiphora fruticosa 'Månelys'
354;Dasiphora fruticosa 'Primrose Beauty'
355;Dasiphora fruticosa 'Princess'
356;Dasiphora fruticosa 'Red Ace'
357;Dasiphora fruticosa 'Sandved'
358;Dasiphora fruticosa 'Snow Flake'
359;Dasiphora fruticosa 'Tervola'
360;Dasiphora fruticosa 'Tilford Cream'
361;Dasiphora fruticosa
362;Delphinium 'Astolat'
363;Delphinium 'Black Knight'
364;Delphinium 'Blue Beauty'
365;Delphinium 'Blue Bird'
366;Delphinium 'Galahad'
367;Delphinium 'King Arthur'
368;Deschampsia flexuosa
369;Dianthus barbatus
370;Dianthus deltoides
371;Dianthus gratianopolitanus
372;Dianthus plumarius
373;Dicentra formosa 'Alba'
374;Dicentra formosa 'Luxuriant'
375;Dicentra formosa
376;Dicentra spectabilis
377;Dictamnus albus
378;Diervilla lonicera 'Helo'
379;Diervilla lonicera
380;Diervilla sessilifolia 'Cool Splash'
381;Diervilla sessilifolia 'Kajo'
382;Diervilla sessilifolia 'Rusko'
383;Diervilla sessilifolia
384;Diervilla x splendens
385;Digitalis grandiflora
386;Digitalis purpurea
387;Doronicum orientale 'Finesse'
388;Doronicum orientale
389;Doronicum plantagineum
390;Doronicum
391;Dracokephalum sibiricum
392;Dryas octopetala
393;Dryopteris carthusiana
394;Dryopteris filix-mas
395;Dryoptreris filix-mas
396;Echinacea purpurea 'Magnus'
397;Echinacea purpurea
398;Echinops bannaticus
399;Empetrum nigrum
400;Epimedium x rubrum
401;Epimedium x youngianum 'Niveum'
402;Eremurus robustus
403;Erigeron 'Adria'
404;Erigeron aurantiacus
405;Erigeron 'Azurfee'
406;Erigeron 'Grandiflorus'
407;Erigeron 'Schöne Blau'
408;Erigeron speciosus
409;Erigeron
410;Eryngium alpinum 'Amethyst'
411;Eryngium alpinum 'James Ivory'
412;Eryngium alpinum
413;Eryngium planum
414;Euonymus europaeus
415;Euonymus nanus var. turkestanicus
416;Eupatorium cannabinum
417;Eupatorium purpureum
418;Eupatorium
419;Euphorbia cyparissias
420;Euphorbia palustris
421;Euphorbia polychroma
422;Fallopia jabonica var. compacta
423;Fallopia japonica var. compacta
424;Fallopia japonica
425;Fallopia sachalinensis
426;Festuca cinerea
427;Festuca gautieri
428;Filipendula rubra
429;Filipendula ulmaria
430;Filipendula vulgaris 'Plena'
431;Filipendula vulgaris 'Rosea'
432;Filipendula vulgaris
433;Foeniculum vulgare var. dulce
434;Forsythia 'Northern Gold'
435;Forsythia ovata
436;Forsythia
437;Fothergilla major 'Velho'
438;Fothergilla major
439;Fritillaria imperialis
440;Fritillaria meleagris
441;Galanthus elwesii
442;Galanthus nivalis
443;Galium odoratum
444;Galium verum
445;Genista tinctoria
446;Gentiana cruciata
447;Gentiana septemfida
448;Gentiana sino-ornata
449;Geranium himalayense 'Derrick Cook'
450;Geranium himalayense 'Gravetye'
451;Geranium himalayense
452;Geranium ibericum
453;Geranium 'Johnson's Blue'
454;Geranium macrorrhizum 'Purple Red'
455;Geranium macrorrhizum 'Purpurrot'
456;Geranium macrorrhizum
457;Geranium nepalense
458;Geranium palustre
459;Geranium pratense
460;Geranium sanguineum 'Elke'
461;Geranium sanguineum 'Max Frei'
462;Geranium sanguineum
463;Geranium sylvaticum
464;Geranium x cantabrigiense 'Biokovo'
465;Geranium x cantabrigiense 'Cambridge'
466;Geranium x cantabrigiense 'Karmina'
467;Geranium x cantabrigiense
468;Geranium x magnificum
469;Geum coccineum 'Borisii'
470;Geum coccineum
471;Gillenia trifoliata
472;Gladioulus imbricatus
473;Glechoma hederacea
474;Glyceria maxima
475;Gymnocarpium dryopteris
476;Gypsophila paniculata
477;Gypsophilla repens
478;Hedera helix
479;Helenium 'Grimson Beauty'
480;Helenium hoopesii
481;Helenium hybrida
482;Helenium 'The Bishop'
483;Helenium 'Wesergold'
484;Heliopsis helianthoides v.sca. 'Goldball
485;Heliopsis helianthoides v.sca.'Goldfiede
486;Heliopsis helianthoides v.scabra 'Patula
487;Hemerocallis 'Aino'
488;Hemerocallis 'Apricot'
489;Hemerocallis 'Atlas'
490;Hemerocallis 'Carminea'
491;Hemerocallis citrina
492;Hemerocallis 'Corky'
493;Hemerocallis 'Elegant Candy'
494;Hemerocallis 'Entrapment'
495;Hemerocallis 'Flaming Sword'
496;Hemerocallis 'Frans Hals
497;Hemerocallis 'Free Wheelin'
498;Hemerocallis fulva 'Europa'
499;Hemerocallis fulva
500;Hemerocallis 'Golden Seapter'
501;Hemerocallis 'Indian Sky'
502;Hemerocallis 'Joan Senior'
503;Hemerocallis 'Kantarelli'
504;Hemerocallis 'Kurt'
505;Hemerocallis lilio-asphodelus
506;Hemerocallis 'Little Girl'
507;Hemerocallis 'Margaret Perry'
508;Hemerocallis middendorffii
509;Hemerocallis minor
510;Hemerocallis 'Pink Damask'
511;Hemerocallis 'Radiant'
512;Hemerocallis 'Rocket City'
513;Hemerocallis 'Sammy Russel'
514;Hemerocallis 'Sirkku'
515;Hemerocallis 'Stella D'oro'
516;Hemerocallis 'Tejas'
517;Hemerocallis 'Valliant'
518;Hemerocallis 'Watchyl Wild Indian'
519;Hemerocallis 'Violet Hour'
520;Hemerocallis
521;Hepatica nobilis
522;Heracleum mantegazzianum
523;Hesperis matronalis
524;Heuchera micrantha 'Palace Purple'
525;Heuchera sanguinea
526;Heucherella tiarelloides
527;Hippophae rhamnoides 'Raisa'
