cid;selite
1;A1.2 Mutka
2;A1.1 Mutka
3;A2.1 Mutkia
4;A2.2 Mutkia
5;A3.1 Jyrkkä mäki
6;A3.2 Jyrkkä mäki
7;A4 Kapeneva tie
8;A5 Kaksisuuntainen liikenne
9;A6 Avattava silta
10;A7 Lautta, laituri tai ranta
11;A8 Liikenneruuhka
12;A9 Epätasainen tie
13;A10 Töyssyjä
14;A11 Tietyö
15;A12 Irtokiviä
16;A13 Liukas ajorata
17;A14 Vaarallinen tienreuna
18;A15 Suojatien ennakkovaroitus
19;A16 Jalankulkijoita
20;A17 Lapsia
21;A18 Pyöräilijöitä
22;A19 Hiihtolatu
23;A20.1 Hirvi
24;A20.2 Poro
25;A20.3 Kauriseläin
26;A21 Tienristeys
27;A22.1 Sivutien risteys
28;A22.2 Sivutien risteys
29;A22.3 Sivutien risteys
30;A22.4 Sivutien risteys
31;A23 Liikennevalot
32;A24 Liikenneympyrä
33;A25 Raitiovaunu
34;A26 Rautatien tasoristeys ilman puomeja
35;A27 Rautatien tasoristeys, jossa on puomit
36;A28.1 Rautatien tasoristeyksen lähestymismerkki
37;A28.2 Rautatien tasoristeyksen lähestymismerkki
38;A28.3 Rautatien tasoristeyksen lähestymismerkki
39;A29.1 Tasoristeys
40;A29.2 Tasoristeys
41;A30 Putoavia kiviä
42;A31 Matalalla lentäviä lentokoneita
43;A32 Sivutuuli
44;A33 Muu vaara
45;B1 Etuajo-oikeutettu tie
46;B1 Etuajo-oikeutettu tie
47;B2 Etuajo-oikeuden päättyminen
48;B3 Etuajo-oikeus kohdattaessa
49;B4 Väistämisvelvollisuus kohdattaessa
50;B5 Väistämisvelvollisuus risteyksessä
51;B6 Pakollinen pysäyttäminen
52;B7 Väistämisvelvollisuus pyöräilijän tienylityspaikassa
53;C1 Ajoneuvolla ajo kielletty
54;C2 Moottorikäyttöisellä ajoneuvolla ajo kielletty
55;C3 Kuorma- ja pakettiautolla ajo kielletty
56;C4 Ajoneuvoyhdistelmällä ajo kielletty
57;C5 Traktorilla ajo kielletty
58;C6 Moottoripyörällä ajo kielletty
59;C7 Moottorikelkalla ajo kielletty
60;C8 Vaarallisten aineiden kuljetus kielletty
61;C9 Linja-autolla ajo kielletty
62;C10 Mopolla ajo kielletty
63;C11 Polkupyörällä ajo kielletty
64;C12 Polkupyörällä ja mopolla ajo kielletty
65;C13 Jalankulku kielletty
66;C14 Jalankulku ja polkupyörällä ajo kielletty
67;C15 Jalankulku ja polkupyörällä ja mopolla ajo kielletty
68;C16 Ratsastus kielletty
69;C17 Kielletty ajosuunta
70;C18 Vasemmalle kääntyminen kielletty
71;C19 Oikealle kääntyminen kielletty
72;C20 U-käännös kielletty
73;C21 Ajoneuvon suurin sallittu leveys
74;C22 Ajoneuvon suurin sallittu korkeus
75;C23 Ajoneuvon tai ajoneuvoyhdistelmän suurin sallittu pituus
76;C24 Ajoneuvon suurin sallittu massa
77;C25 Ajoneuvoyhdistelmän suurin sallittu massa
78;C26 Ajoneuvon suurin sallittu akselille kohdistuva massa
79;C27 Ajoneuvon suurin sallittu telille kohdistuva massa
80;C28 Ohituskielto
81;C29 Ohituskielto päättyy
82;C30 Ohituskielto kuorma-autolla
83;C31 Ohituskielto kuorma-autolla päättyy
84;C32 Nopeusrajoitus
85;C33 Nopeusrajoitus päättyy
86;C34 Nopeusrajoitusalue
87;C35 Nopeusrajoitusalue päättyy
88;C36 Ajokaistakohtainen kielto, rajoitus tai määräys
89;C37 Pysäyttäminen kielletty
90;C38 Pysäköinti kielletty
91;C39 Pysäköintikieltoalue
92;C40 Pysäköintikieltoalue päättyy
93;C41 Taksiasema-alue
94;C42 Taksin pysäyttämispaikka
95;C43 Kuormauspaikka
96;C44.1 Vuoropysäköinti
97;C44.2 Vuoropysäköinti
98;C45 Pakollinen pysäyttäminen tullitarkastusta varten
