id;selite
1;Abies amabilis
2;Abies balsamea
3;Abies concolor
4;Abies fraseri
5;Abies grandis
6;Abies holophylla
7;Abies homolepis
8;Abies koreana
9;Abies lasiocarpa
10;Abies lasiocarpa var. arizonica
11;Abies mariesii
12;Abies nephrolepis
13;Abies nordmanniana
14;Abies procera
15;Abies sachalinensis
16;Abies sibirica
17;Abies sp
18;Abies veitchii
19;Acanthopanax senticosus
20;Acer barbinerve
21;Acer campestre
22;Acer circinatum
23;Acer japonicum
24;Acer mono
25;Acer negundo
26;Acer palmatum
27;Acer pensylvanicum
28;Acer platanoides
29;Acer platanoides 'Reitenbachii'
30;Acer platanoides 'Schwedleri'
31;Acer pseudoplatanus
32;Acer pseudosieboldianum
33;Acer rubrum
34;Acer saccharinum
35;Acer saccharum
36;Acer sieboldianum
37;Acer sp
38;Acer spicatum
39;Acer tataricum
40;Acer tataricum subsp. ginnala
41;Acer tataricum subsp. semenowii
42;Acer tataricum subsp. tataricum
43;Acer tegmentosum
44;Acer triflorum
45;Acer ukurunduense
46;Actinidia arguta
47;Actinidia kolomikta
48;Aesculus hippocastanum
49;Aesculus octandra
50;Alnus glutinosa
51;Alnus glutinosa f. quercifolia
52;Alnus incana
53;Alnus incana f. gibberosa
54;Alnus incana f. laciniata
55;Alnus incana subsp. kolaënsis
56;Alnus mandshurica
57;Alnus sp
58;Alnus viridis
59;Amelanchier alnifolia
60;Amelanchier laevis
61;Amelanchier lamarckii
62;Amelanchier sp
63;Amelanchier spicata
64;Andromeda polifolia
65;Aralia elata
66;Arctostaphylos alpinus
67;Arctostaphylos uva-ursi
68;Aristolochia macrophylla
69;Aronia ×prunifolia
70;Aronia arbutifolia
71;Aronia melanocarpa
72;Aronia sp
73;Artemisia abronatum
74;Berberis koreana
75;Berberis sp
76;Berberis thunbergii
77;Berberis vulgaris
78;Betula alleghaniensis
79;Betula ermanii
80;Betula fruticosa
81;Betula lenta
82;Betula nana
83;Betula papyrifera
84;Betula pendula
85;Betula pendula 'Dalecarlica'
86;Betula pendula f. bircalensis
87;Betula pendula f. crispa
88;Betula pendula f. palmeri
89;Betula pendula f. tristis
90;Betula pendula var. carelica
91;Betula pendula 'Youngii'
92;Betula pubescens
93;Betula pubescens f. aurea
94;Betula pubescens f. rubra
95;Betula pubescens subsp. czerepanovii
96;Betula sp
97;Buddleja davidii
98;Buxus sempervirens
99;Calluna vulgaris
100;Caragana arborescens
101;Caragana aurantiaca
102;Caragana frutex
103;Carpinus betulus
104;Cassiope hypnoides
105;Cassiope tetragona
106;Celastrus orbiculatus
107;Celastrus scandens
108;Cercidiphyllum japonicum
109;Cercidiphyllum magnificum
110;Chaenomeles japonica
111;Chamaecyparis lawsoniana
112;Chamaecyparis nootkatensis
113;Chamaecyparis pisifera
114;Chamaecyparis sp
115;Chamaedaphne calyculata
116;Chimaphila umbellata
117;Cladrastis kentukea
118;Clematis alpina
119;Clematis ochotensis
120;Clematis sibirica
121;Clematis sp
