id;selite
1;aita
2;esteettömyysramppi
3;istutuslaatikko
4;kaide
5;katos
6;kahluuallas
7;katsomo ja lava
8;kesäkukkalaatikko
9;kivijalka
10;koristeallas
11;koristemuuri
12;kulkuesteet (pollarit, puomit)
13;laituri, aallonmurtaja
14;lintu- ja näköalatorni
15;lipputanko
16;luistinkoppi
17;mankeli
18;matonpesuallas
19;muovireunus
20;muuri
21;pergola, huvimaja
22;pitkospuut
23;pollari
24;portti
25;puureunukset
26;pysäkki ilman katosta
27;pysäkkikatos
28;pysäköintilippuautomaatti
29;pyöräteline
30;rantamuuri
31;reunatuki
32;silta
33;skeittiramppi
34;sosiaalitila
35;suihkulähde
36;terassi
37;tukimuuri
38;uima-allas
39;muu
40;ei tiedossa
