id;selite
1;alikulkukäytävä
2;beach volley -kenttä
3;hautausmaa
4;istutusallas
5;joki/puro
6;joutomaa
7;juoksurata
8;jättömaa
9;kallio
10;kanoottilaituri
11;katsomo
12;kenttä
13;kesäkukkamaa
14;kesäteatteri
15;kitumaa
16;koira-aitaus
17;koripallokenttä
18;kosteikko
19;kuntoilualue
20;käytävä
21;laidun
22;laituri
23;lampi
24;lastenallas
25;leikkialue
26;leikkikenttä
27;luonnonsuojelualue
28;matonpesupaikka
29;metsitysalue
30;metsä
31;monitoimikenttä
32;muu urheilukenttä
33;niitty
34;nurmikko
35;oja
36;oleskelualue
37;paikoitusalue
38;pallokenttä
39;pelikenttä
40;pelto
41;perennamaa
42;petankkikenttä
43;portaat
44;pukusuoja
45;pulkkamäki
46;ranta
47;ratsastuskenttä
48;rullaluistelurata
49;silta
50;skeittikenttä
51;suo
52;tenniskenttä
53;uimala
54;ulkoilureitti
55;ulkoliikunta-alue
56;uimaranta
57;venesatama
58;vesialue
59;viheralue
60;viljelyspalsta
61;muu
62;ei tiedossa
